id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net gain,,,
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,1747311220,,Star Wars Ep. VII: The Force Awakens,936662225
1,18-Dec-09,Avatar,425000000,760507625,2776345279,2351345279,,Avatar,760507625
42,16-Feb-18,Black Panther,200000000,700059566,1348258224,1148258224,,Black Panther,700059566
7,27-Apr-18,Avengers: Infinity War,300000000,678815482,2048134200,1748134200,,Avengers: Infinity War,678815482
43,19-Dec-97,Titanic,200000000,659363944,2208208395,2008208395,,Titanic,659363944
34,12-Jun-15,Jurassic World,215000000,652270625,1648854864,1433854864,,Jurassic World,652270625
27,4-May-12,The Avengers,225000000,623279547,1517935897,1292935897,,The Avengers,623279547
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,999721747,,Star Wars Ep. VIII: The Last Jedi,620181382
44,15-Jun-18,Incredibles 2,200000000,608581744,1242520711,1042520711,,Incredibles 2,608581744
75,18-Jul-08,The Dark Knight,185000000,533720947,1001996207,816996207,,The Dark Knight,533720947
45,16-Dec-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,849102856,,,net gain
135,17-Mar-17,Beauty and the Beast,160000000,504014165,1259199706,1099199706,,Avatar,1747311220
46,17-Jun-16,Finding Dory,200000000,486295561,1021215193,821215193,,Titanic,2351345279
304,19-May-99,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677,912044677,,Avengers: Infinity War,1148258224
3465,25-May-77,Star Wars Ep. IV: A New Hope,11000000,460998007,786598007,775598007,,Star Wars Ep. VII: The Force Awakens,1748134200
4,1-May-15,Avengers: Age of Ultron,330600000,459005868,1403013963,1072413963,,Jurassic World,2008208395
11,20-Jul-12,The Dark Knight Rises,275000000,448139099,1084439099,809439099,,The Avengers,1433854864
693,19-May-04,Shrek 2,70000000,441226247,937008132,867008132,,Harry Potter and the Deathly Hallows: Part II,1292935897
3526,11-Jun-82,ET: The Extra-Terrestrial,10500000,435110554,792965326,782465326,,Black Panther,999721747
96,8-Mar-19,Captain Marvel,175000000,426525952,1123061550,948061550,,Jurassic World: Fallen Kingdom,1042520711
238,22-Nov-13,The Hunger Games: Catching Fire,130000000,424668047,864868047,734868047,,Frozen,816996207
28,7-Jul-06,Pirates of the Caribbean: Dead Manâ€™s Chest,225000000,423315812,1066215812,841215812,,,
609,15-Jun-94,The Lion King,79300000,421785283,986214868,906914868,,Dark Phoenix,-200237650
113,22-Jun-18,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,1135772799,,Moonfall,-150000000
47,18-Jun-10,Toy Story 3,200000000,415004880,1068879522,868879522,,Mars Needs Moms,-110450242
155,2-Jun-17,Wonder Woman,150000000,412563408,821133378,671133378,,Men in Black: International,-106900000
48,3-May-13,Iron Man 3,200000000,408992272,1215392272,1015392272,,Town & Country,-94635231
17,6-May-16,Captain America: Civil War,250000000,408084349,1140069413,890069413,,The Adventures of Pluto Nash,-92905005
538,23-Mar-12,The Hunger Games,80000000,408010692,677923379,597923379,,Bright,-90000000
438,20-Dec-17,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,874496193,,Army of the Dead,-90000000
219,3-May-02,Spider-Man,139000000,403706375,821706375,682706375,,Call of the Wild,-82000000
36,24-Jun-09,Transformers: Revenge of the Fallen,210000000,402111870,836519699,626519699,,The Promise,-79448583
156,22-Nov-13,Frozen,150000000,400738009,1272469910,1122469910,,,
825,11-Jun-93,Jurassic Park,63000000,395708305,1038812584,975812584,,,
49,5-May-17,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,662316233,,,
261,15-Jul-11,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,1216693157,,,
425,30-May-03,Finding Nemo,94000000,380529370,936429370,842429370,,,
305,19-May-05,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877,733998877,,,
426,17-Dec-03,The Lord of the Rings: The Return of the King,94000000,377845905,1141403341,1047403341,,,
2486,13-Nov-91,Beauty and the Beast,20000000,376057266,608431132,588431132,,,
50,30-Jun-04,Spider-Man 2,200000000,373524485,795110670,595110670,,,
2160,25-Feb-04,The Passion of the Christ,25000000,370782930,622341924,597341924,,,
626,8-Jul-16,The Secret Life of Pets,75000000,368384330,886750534,811750534,,,
622,3-Jul-13,Despicable Me 2,76000000,368065385,975216835,899216835,,,
97,15-Apr-16,The Jungle Book,175000000,364001123,962854547,787854547,,,
956,12-Feb-16,Deadpool,58000000,363070709,801025593,743025593,,,
98,19-Jun-15,Inside Out,175000000,356461711,854235992,679235992,,,
